path,rows,bytes,sha256,github_upload_mode
scripts/reconcile_inventory_vs_availability.py,368,16923,d765071557f69e3392e11c6ac9864ade6b834a4ba5e99f4b4215be305d81bf9d,small_text_upload_candidate
scripts/build_normalizer_status_all_events.py,381,14937,9707d20305a67d4df26a8f4555c2c6b9f36c15ca96ef7a683f782becdd58ac58,small_text_upload_candidate
scripts/normalize_geomag_indices.py,94,3443,9ca32f7fd3288a9af22a990df272ccaa995a053d1ecafd405ea490bff9edc9ea,small_text_upload_candidate
scripts/materialize_action_plan_after_20260628.py,622,26952,ee28f76db27c70212886065a6c7aaef99ad9d7c884737d7df8557a05ece11ae1,small_text_upload_candidate
docs_index/data_manifest_local_reconciled.csv,415,195040,351a41b4321e0294d089145b41fbccc05e816278000783a197ae2d1f169f4c45,small_text_upload_candidate
data_samples/screening_outputs/event_data_availability_reconciled.csv,6,2342,b924c7317be0c92c79d9699f95f25e981586963880c34de7225af9f2a6b8b44f,small_text_upload_candidate
data_samples/screening_outputs/inventory_availability_group_states_seed_events.csv,30,12282,e07037df510041ed44fdd767c38ed6c6f4a61a12cb63654ad6b8ec24d321ae61,small_text_upload_candidate
data_work/normalized/normalizer_status_all_events_v2.csv,415,200526,15b8b3e38633efb3ba01d9acb8e20164e54f7616b33c0c078996294fdb06fc63,small_text_upload_candidate
docs_index/download_queue_seed_events_guvi.csv,3,1368,c8295d11d937bf57644b1c8e89be35d58158a0a7dbe9f6c567c2905dc146a0d4,small_text_upload_candidate
docs_index/download_queue_seed_events_dmsp.csv,3,1479,5f3d699576a84cd315198dc40bcd45486e152f8d512a2b3b78f027d35794d73e,small_text_upload_candidate
docs_index/download_queue_seed_events_superdarn.csv,3,1839,dc15e611dddcfd9eba96bb9b0eb9ba62e9fcabfe456a34fdbf71d81896d01cb0,small_text_upload_candidate
docs_index/download_queue_seed_events_ssusi.csv,3,1386,7d72b39ac4dc1863dfb84a3b98325e274e804318993feb8f78f3f9bfd6cfde12,small_text_upload_candidate
docs_index/download_queue_seed_events_indices.csv,3,1434,41ad8a43f992ee7fbd46da8b187d7c9d0751f5a51789cb4cc6b7285e02e915ea,small_text_upload_candidate
data_samples/screening_outputs/superdarn_saps_channels_seed_events.csv,3,1038,e0f609fcfe51fbf6f4230052674568e18e0b4c65750210ef66649ff186e031e7,small_text_upload_candidate
data_samples/screening_outputs/dmsp_saps_crossings_seed_events.csv,27,6006,db9b5374b1cd62f86be2803c77f0d1d8576364f7ac1579f6bffc4769ce78b235,small_text_upload_candidate
data_samples/screening_outputs/saps_channel_objects_seed_events.csv,29,16333,158283a913a6f6e31ab15b30c4b5b2372b3f7691419b1fdff2f34a25f2a5296b,small_text_upload_candidate
data_samples/screening_outputs/on2_opportunity_seed_events.csv,29,13954,a60f04fea66dbd76b53538fb1df176c2625a261f9150880ce762fa5f154f50f5,small_text_upload_candidate
data_samples/screening_outputs/guvi_on2_patches_seed_events.csv,29,6713,b0cfe8c6ae21a9004cce1bf996e1020683d79b0e4c2ea85960cd16892824925d,small_text_upload_candidate
data_samples/screening_outputs/saps_on2_match_candidates_seed_events.csv,29,19843,e1acdcc65fc0d354ef35c133e463dbfce192c8034029df86290beb28d34b7e4d,small_text_upload_candidate
data_samples/screening_outputs/dmsp_crossing_relative_on2_profiles_seed_events.csv,29,10193,3c7c21a1c93cb84ac5a3a53e6c62670c0946344dc2a442d908a8e57cc42c16b9,small_text_upload_candidate
data_samples/screening_outputs/nonmatch_selection_function_seed_events.csv,23,3969,20c6b0e1065c5eddcee2af641256af80afb885e1191942ce147ee76c900e2942,small_text_upload_candidate
data_samples/screening_outputs/event_universe_2011_2015_batch1_major.csv,129,20908,240554a1b1ca79f8c2e016b1f64907339be00db5d2cd13655fbe314d74423d9e,small_text_upload_candidate
docs_index/download_queue_guvi_2011_2015_batch1_major.csv,129,60971,c2b6052c02148a7032aa302c3643344a21e0af4a737bd4add2ff73f7fb1be354,small_text_upload_candidate
docs_index/download_queue_dmsp_2011_2015_batch1_major.csv,129,57875,fc2f1b9c7dd44d28ebcfa73f1b41a3398c4bb14a8bfd7e608234af4de5e19a90,small_text_upload_candidate
docs_index/download_queue_superdarn_2011_2015_batch1_major.csv,129,83933,069260f9fc4805fd41984959643c5fe8a001683da584a7fecbbcd11a8ac7b51e,small_text_upload_candidate
docs_index/download_queue_ssusi_2011_2015_batch1_major.csv,129,53747,0ea800cf320d0663d2587cd4f6556915e7a56662e085f2005f96fc07d4bea95c,small_text_upload_candidate
docs_index/download_queue_indices_2011_2015_batch1_major.csv,129,75290,344abb477b0784e03c62debcfd02b2a8de728e9eb4a39d24bd262ad1fe4189c9,small_text_upload_candidate
summaries/screening_outputs/inventory_availability_reconciliation_20260629.md,35,2978,46ea9b93c8464394b09644dea54255f3a114da677263839415be9a742e4e76ea,small_text_upload_candidate
summaries/screening_outputs/normalizer_status_v2_summary.md,27,1161,b00b850f39abcb55b1f9b70302bb754ac7acf0b084bcdcc098053451af286785,small_text_upload_candidate
summaries/screening_outputs/seed_event_data_acquisition_status.md,30,1868,6b2b0bf4dabec5d731efb6e147b987e0a2b8cae1a52799cb89874cb0ec9fcde6,small_text_upload_candidate
summaries/screening_outputs/superdarn_detector_validation_seed_events.md,7,468,3531ae86ff04dda71de606223852b3a9abebc60c6a3479eca3fa505e9ec63c93,small_text_upload_candidate
summaries/screening_outputs/dmsp_detector_validation_seed_events.md,9,430,9cd7465dbc617580ef855ad187951b56435f74b7d9edc35082292ed31faa6608,small_text_upload_candidate
summaries/screening_outputs/seed_event_screening_summary.md,18,608,805fed04929427bfe948918eba2ec2be668cdf69c4df27ed2d4917df5d843305,small_text_upload_candidate
summaries/screening_outputs/seed_event_detector_validation_summary.md,5,318,506d11464dab5c734cf92f901cf3fb032f207274772a3a0fe2f5eb462322da51,small_text_upload_candidate
summaries/screening_outputs/seed_event_on2_opportunity_summary.md,7,303,19a4edc837fa3e9b8554a046d14932252fdd82eb0b2d2a7cb93698430735a7d4,small_text_upload_candidate
summaries/screening_outputs/batch1_major_storm_data_readiness.md,18,684,a94c28f6da0522cacf143e4ab8cb90e49b0299bd1592f941def9711c810a99b2,small_text_upload_candidate
summaries/screening_outputs/next_phase_progress_after_20260628.md,24,915,d7dbab9cc94a7c84511cfb412e9b902227768217d87b8d4ec925b89f072e244e,small_text_upload_candidate
figures/screening_outputs/fig_20140219_superdarn_saps_channel_validation.png,binary,37637,b052f6bb0737612a30bd8c6c8f7751889417719eb9c8ee83b81360e0f9b8229e,local_or_binary_artifact_manifest_only
figures/screening_outputs/fig_20111025_superdarn_saps_channel_validation.png,binary,37513,5cbfda8e254f9be4a2d8d51bd10bd2026d8e6d6e3b33fdd020e44d00f9c79bc4,local_or_binary_artifact_manifest_only
figures/screening_outputs/fig_20130630_superdarn_saps_channel_validation.png,binary,38216,b4524b4ad39173449171289a0cb5480478376a8be4f53d62f0ebde778b312289,local_or_binary_artifact_manifest_only
