path,exists,size_bytes,generated_utc
docs_index/seed_event_download_instructions.md,True,1467,2026-06-30T08:05:51+00:00
docs_index/seed_event_manual_download_checklist.csv,True,6106,2026-06-30T08:05:51+00:00
docs_index/seed_event_remote_availability.csv,True,5693,2026-06-30T08:05:51+00:00
docs_index/data_manifest_seed_events_required.csv,True,8435,2026-06-30T08:05:51+00:00
docs_index/data_manifest_seed_events_linked.csv,True,2939,2026-06-30T08:05:51+00:00
docs_index/data_manifest_seed_events_missing.csv,True,4684,2026-06-30T08:05:51+00:00
summaries/screening_outputs/seed_event_download_blockers.md,True,2217,2026-06-30T08:05:51+00:00
docs_index/batch1_major_storm_group_priority.csv,True,4326,2026-06-30T08:05:51+00:00
docs_index/download_queue_batch1_priority_top5_guvi.csv,True,14416,2026-06-30T08:05:51+00:00
docs_index/download_queue_batch1_priority_top5_dmsp.csv,True,13696,2026-06-30T08:05:51+00:00
docs_index/download_queue_batch1_priority_top5_superdarn.csv,True,19756,2026-06-30T08:05:51+00:00
docs_index/download_queue_batch1_priority_top5_ssusi.csv,True,12736,2026-06-30T08:05:51+00:00
summaries/screening_outputs/batch1_major_storm_download_priority.md,True,1583,2026-06-30T08:05:51+00:00
data_work/normalized/normalizer_status_all_events_v3.csv,True,302455,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/st_patrick_normalizer_science_ready_caveats.csv,True,81227,2026-06-30T08:05:51+00:00
summaries/screening_outputs/normalizer_status_v3_summary.md,True,739,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/dmsp_saps_crossings_seed_events_v2.csv,True,11177,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/superdarn_saps_channels_seed_events_v2.csv,True,1854,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/saps_channel_objects_seed_events_v2.csv,True,18397,2026-06-30T08:05:51+00:00
summaries/screening_outputs/seed_detector_v2_gate_summary.md,True,333,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/on2_opportunity_seed_events_science_ready.csv,True,17896,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/guvi_on2_patches_seed_events_science_ready.csv,True,9730,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/saps_on2_match_candidates_seed_events_science_ready.csv,True,22167,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/dmsp_crossing_relative_on2_profiles_seed_events_science_ready.csv,True,23427,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/nonmatch_selection_function_seed_events_science_ready.csv,True,5923,2026-06-30T08:05:51+00:00
summaries/screening_outputs/seed_event_science_ready_summary.md,True,700,2026-06-30T08:05:51+00:00
data_samples/screening_outputs/batch1_major_storm_data_availability_v2.csv,True,30922,2026-06-30T08:05:51+00:00
data_work/normalized/normalizer_status_batch1_major_v1.csv,True,95043,2026-06-30T08:05:51+00:00
summaries/screening_outputs/batch1_major_storm_data_readiness_v2.md,True,525,2026-06-30T08:05:51+00:00
