path,exists_local,size_bytes,sha256,csv_data_rows,github_upload_status,github_visible,generated_utc,github_upload_status_v2,github_visible_v2,verification_note
data_samples/screening_outputs/batch1_major_storm_data_availability_v2.csv,True,30922,e0d646dc9ceecf7363a61d064621b23d865c4bc3d09f97c73cba0d6d84c69946,129.0,pending_verification,False,2026-06-30T08:27:50+00:00,summary_uploaded_full_data_local,False,full data kept local; gate summary and manifest identify artifact
data_samples/screening_outputs/dmsp_crossing_relative_on2_profiles_seed_events_science_ready.csv,True,23427,a1b7bc260738defd4e5d1f99acd48bc41395a2edc0ba2a6981370821ac9ebc70,29.0,pending_verification,False,2026-06-30T08:27:50+00:00,summary_uploaded_full_data_local,False,full data kept local; gate summary and manifest identify artifact
data_samples/screening_outputs/dmsp_saps_crossings_seed_events_v2.csv,True,11177,6eab2768168434ae3596721a481653882b8ba410a57159b002a214155f525dda,27.0,pending_verification,False,2026-06-30T08:27:50+00:00,not_attempted,False,not uploaded in priority recovery batch
data_samples/screening_outputs/guvi_on2_patches_seed_events_science_ready.csv,True,9730,fa4e1587863b4c649402f3e9fe0d7903b27a497578f760802c3113a7240fcba5,29.0,pending_verification,False,2026-06-30T08:27:50+00:00,not_attempted,False,not uploaded in priority recovery batch
data_samples/screening_outputs/nonmatch_selection_function_seed_events_science_ready.csv,True,5923,8ab0446019204a59774f8a0b9c57e11224cf29842a90b33cf7b17f0dc1ec1d09,23.0,pending_verification,False,2026-06-30T08:27:50+00:00,not_attempted,False,not uploaded in priority recovery batch
data_samples/screening_outputs/on2_opportunity_seed_events_science_ready.csv,True,17896,56ea129b989809ae5e0722118027277e1e575f3e7c7b76ae8dd0d5650924e2a6,29.0,pending_verification,False,2026-06-30T08:27:50+00:00,summary_uploaded_full_data_local,False,full data kept local; gate summary and manifest identify artifact
data_samples/screening_outputs/saps_channel_objects_seed_events_v2.csv,True,18397,99ef465bdfe663f4766d732b4058b39db3214fade5a92c73fb2d42300512759b,29.0,pending_verification,False,2026-06-30T08:27:50+00:00,summary_uploaded_full_data_local,False,full data kept local; gate summary and manifest identify artifact
data_samples/screening_outputs/saps_on2_match_candidates_seed_events_science_ready.csv,True,22167,415226bca8d25639fa143b03a139cc841584d36bce1ca796fafb7937db360fce,29.0,pending_verification,False,2026-06-30T08:27:50+00:00,summary_uploaded_full_data_local,False,full data kept local; gate summary and manifest identify artifact
data_samples/screening_outputs/st_patrick_normalizer_science_ready_caveats.csv,True,81227,6af829872fcdc95c15ddd5cb0c93bd455c3335103064521cbf23189fad826a46,307.0,pending_verification,False,2026-06-30T08:27:50+00:00,manifest_only_local_large_artifact,False,kept local; SHA256/row count and summary are repo-visible
data_samples/screening_outputs/superdarn_saps_channels_seed_events_v2.csv,True,1854,f52c642a00c47bf0ca64cb2596118d1eacebd7d0a5b7b5fcdf14f5b8d2768145,3.0,pending_verification,False,2026-06-30T08:27:50+00:00,not_attempted,False,not uploaded in priority recovery batch
data_work/normalized/normalizer_status_all_events_v3.csv,True,302455,5791cff7561d5e0e5db988b3c44ee20628f19a1a8a217416ac94f7361172ac23,415.0,pending_verification,False,2026-06-30T08:27:50+00:00,manifest_only_local_large_artifact,False,kept local; SHA256/row count and summary are repo-visible
data_work/normalized/normalizer_status_batch1_major_v1.csv,True,95043,bb12f11c234991dfce03c80fb5780424ad1cd928675bf61eda369d41fe8ecf6b,645.0,pending_verification,False,2026-06-30T08:27:50+00:00,manifest_only_local_large_artifact,False,kept local; SHA256/row count and summary are repo-visible
docs_index/batch1_major_storm_group_priority.csv,True,4326,5b3b4e34d4e6cb283b51e9a50de37c64d27a5b9733a6fb56c12198c8efb2c77d,22.0,pending_verification,False,2026-06-30T08:27:50+00:00,remote_visible,True,verified by GitHub connector fetch or known successful create_file commit
docs_index/codex_upload_recovery_and_next_stage_plan_after_20260629_local_run.md,True,3922,817105744d7ee03840d3e1714e01bc8a8a85ddb5373bc3ddbcb26d5e6457c50e,,pending_verification,False,2026-06-30T08:27:50+00:00,remote_visible,True,verified by GitHub connector fetch or known successful create_file commit
docs_index/data_manifest_seed_events_linked.csv,True,2939,4d7493dfbc9c4acccab45418ea2fd2fd62616eec87fe4ccee241a385852b3900,21.0,pending_verification,False,2026-06-30T08:27:50+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/data_manifest_seed_events_missing.csv,True,4684,7b0da8a90ef1adc5afbe30db07f45a28492f9f096ce8907a26cd6ccabec6fc9a,12.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/data_manifest_seed_events_required.csv,True,8435,2ee8b41a70b87eeded007e7fe3f2c7502dfcec909aba9c958305060593aea9b1,15.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/download_queue_batch1_priority_top5_dmsp.csv,True,13696,273a0950fcf3d6879aa1ebf426d567689e88bb486e46d3413e9224daccff3c44,30.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/download_queue_batch1_priority_top5_guvi.csv,True,14416,e0ac9748908f34e5f96ba7cc13b0f1e52c0391d598b40ab0c068e71401cd1592,30.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/download_queue_batch1_priority_top5_ssusi.csv,True,12736,fb760df8d628973f20700e8c6527b9381df23d402c96a30dfb25ab2464567e1d,30.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/download_queue_batch1_priority_top5_superdarn.csv,True,19756,efcf6415eafa13004bee1ac165284d017abba943d7a4d4f9ed58e1397564c313,30.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/github_upload_pending_after_20260629_execution.md,True,3211,1761b8eabbda456af9dc40c331d5a55851c22b69d5e73b423bfbef7d8f1f4d2f,,pending_verification,False,2026-06-30T08:27:51+00:00,remote_visible,True,verified by GitHub connector fetch or known successful create_file commit
docs_index/seed_event_download_instructions.md,True,1467,7c03bff48808126c6742c9ed8f0d78105c2e885112d5b822e4628f10774e7a2b,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/seed_event_manual_download_checklist.csv,True,6106,7f315c97eb7473214ffe9824565f93fef7f61a18f36a474f5e49b82450b5771a,12.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
docs_index/seed_event_remote_availability.csv,True,5693,df8d28b9c8ced3ecdaf1c6cfcd4aa70c5f930c22ad76a53151939568435c10df,15.0,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
scripts/build_upload_recovery_manifest.py,True,2556,f9d79da397705271a7d29c4f1e754fb8a1f8ddc8796e9ef7c065cda79a49961d,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,script upload deferred after priority recovery files
scripts/link_local_raw_files_from_manifest.py,True,4233,cd821d17015fb8a8b16b084a69000260e7b730bf740a5c863eae2709f2b904ed,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,script upload deferred after priority recovery files
scripts/materialize_next_stage_after_20260629.py,True,21436,0f3a5119fcbf58c761af29fff200bec44e7a945ab4e6966c4ad7d94923f1d9c3,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,script upload deferred after priority recovery files
scripts/materialize_seed_download_instructions.py,True,14092,abc8aa17c56672f2db66ed3b78b45cdc3d35e2a064f4f1b71d819d24e85a7e32,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,script upload deferred after priority recovery files
scripts/rank_batch1_major_storms_for_download.py,True,7637,78ebd5ebf45dadd56469df2315da4df4fc580d020ddcff1650e5c815e337ca05,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,script upload deferred after priority recovery files
summaries/screening_outputs/batch1_major_storm_data_readiness_v2.md,True,525,deb69a824faebae5f2ec2bd2f4992574538043d127ea0a22638a453b8f9ba55e,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
summaries/screening_outputs/batch1_major_storm_download_priority.md,True,1583,675f556155b147cc78987e54b11422c1b441fff0effaf8eee8d39b1a4fe8185a,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
summaries/screening_outputs/normalizer_status_v3_summary.md,True,739,2d69fa420cae65aa0f8d27d802e0d66cb7b10bb0aa4204bd306ff71b63be22d2,,pending_verification,False,2026-06-30T08:27:51+00:00,remote_visible,True,verified by GitHub connector fetch or known successful create_file commit
summaries/screening_outputs/seed_detector_v2_gate_summary.md,True,333,98d4b3d41b8a512903e0ba442f5ac5963283fba8af2e1b3838522db562df928d,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
summaries/screening_outputs/seed_event_download_blockers.md,True,2217,e993d5625763fefc9cc5b2059ef06e005df574433be9203f8d12f760c441dfcb,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
summaries/screening_outputs/seed_event_science_ready_summary.md,True,700,5585e1f8e77fc6e9bd9ff2bd3f29a64e371bea41778e67fa21f47390586bf068,,pending_verification,False,2026-06-30T08:27:51+00:00,not_attempted,False,not uploaded in priority recovery batch
