seconds,lat,lon,radius
0.0,-76.5082343,-49.7993098,6895313.74
20.0,-75.2629475,-49.0507451,6895299.92
40.0,-74.01511719999999,-48.42933110000001,6895284.67
60.0,-72.76528859999999,-47.907621199999994,6895267.93
80.0,-71.51386,-47.4654965,6895249.66
100.0,-70.26112859999999,-47.08788340000001,6895229.8
120.0,-69.0073204,-46.76327119999999,6895208.3
140.0,-67.7526103,-46.48272159999999,6895185.11
160.0,-66.4971358,-46.239189899999985,6895160.15
180.0,-65.24100589999999,-46.027049799999986,6895133.37
200.0,-63.9843087,-45.841754699999996,6895104.69
220.0,-62.7271155,-45.6795903,6895074.05
240.0,-61.4694849,-45.5374932,6895041.38
260.0,-60.2114656,-45.412914,6895006.61
280.0,-58.953098,-45.303714299999996,6894969.66
300.0,-57.694416,-45.2080866,6894930.48
320.0,-56.4354484,-45.124493099999995,6894888.98
340.0,-55.176219499999995,-45.051616499999994,6894845.11
360.0,-53.916750199999996,-44.98832249999998,6894798.8
380.0,-52.657058199999994,-44.9336285,6894749.97
400.0,-51.397159099999996,-44.88667889999999,6894698.57
420.0,-50.137066,-44.84672560000001,6894644.53
440.0,-48.8767906,-44.813111100000015,6894587.78
460.0,-47.616343,-44.78525500000001,6894528.25
480.0,-46.355731899999995,-44.76264330000001,6894465.88
500.0,-45.0949652,-44.744818899999984,6894400.59
520.0,-43.8340497,-44.73137349999999,6894332.32
540.0,-42.5729914,-44.7219417,6894261.0
560.0,-41.3117957,-44.71619479999998,6894186.5600000005
580.0,-40.050467399999995,-44.71383689999999,6894108.94
600.0,-38.7890108,-44.7145998,6894028.07
620.0,-37.5274298,-44.71824090000001,6893943.890000001
640.0,-36.2657279,-44.7245389,6893856.350000001
660.0,-35.0039083,-44.733292500000005,6893765.38
680.0,-33.741973699999996,-44.74431709999999,6893670.93
700.0,-32.479926999999996,-44.757443800000004,6893572.94
720.0,-31.2177704,-44.7725169,6893471.38
740.0,-29.9555063,-44.789393200000006,6893366.2
760.0,-28.6931367,-44.807940099999996,6893257.350000001
780.0,-27.430663499999998,-44.82803480000001,6893144.8100000005
800.0,-26.168088599999997,-44.84956310000001,6893028.54
820.0,-24.9054137,-44.87241879999999,6892908.5
840.0,-23.6426405,-44.8965025,6892784.69
860.0,-22.379770399999998,-44.92172120000001,6892657.07
880.0,-21.116805,-44.947987600000005,6892525.63
900.0,-19.8537458,-44.97521929999999,6892390.37
920.0,-18.590594199999998,-45.0033387,6892251.28
940.0,-17.3273515,-45.03227229999999,6892108.37
960.0,-16.0640192,-45.06195020000001,6891961.66
980.0,-14.8005985,-45.092305899999985,6891811.15
1000.0,-13.5370908,-45.12327579999999,6891656.86
1020.0,-12.2734974,-45.154799,6891498.83
1040.0,-11.0098196,-45.1868168,6891337.08
1060.0,-9.746058699999999,-45.219272700000005,6891171.66
1080.0,-8.4822162,-45.25211189999999,6891002.600000001
1100.0,-7.2182932,-45.285281199999986,6890829.97
1120.0,-5.9542912999999995,-45.31872870000001,6890653.82
1140.0,-4.6902116,-45.3524036,6890474.21
1160.0,-3.4260558,-45.38625619999999,6890291.22
1180.0,-2.161825,-45.42023710000001,6890104.91
1200.0,-0.8975209,-45.454297699999984,6889915.37
1220.0,0.3668552,-45.488389600000005,6889722.69
1240.0,1.6313016,-45.522464600000006,6889526.95
1260.0,2.8958168,-45.5564742,6889328.25
1280.0,4.1603992,-45.59037000000001,6889126.71
1300.0,5.4250473,-45.6241029,6888922.44
1320.0,6.6897592,-45.657623099999995,6888715.5600000005
1340.0,7.9545334,-45.690880100000015,6888506.18
1360.0,9.219368,-45.723822299999995,6888294.45
1380.0,10.4842614,-45.756396800000005,6888080.5
1400.0,11.7492115,-45.788549399999994,6887864.46
1420.0,13.0142166,-45.82022380000001,6887646.47
1440.0,14.2792747,-45.85136219999998,6887426.68
1460.0,15.5443837,-45.881904099999986,6887205.25
1480.0,16.809541499999998,-45.9117866,6886982.33
1500.0,18.0747458,-45.940944099999996,6886758.09
1520.0,19.3399946,-45.96930750000001,6886532.68
1540.0,20.605285199999997,-45.996804199999985,6886306.29
1560.0,21.8706154,-46.0233576,6886079.07
1580.0,23.135982499999997,-46.0488867,6885851.22
1600.0,24.4013839,-46.07330539999998,6885622.92
1620.0,25.6668167,-46.096522100000016,6885394.34
1640.0,26.932278,-46.11843920000001,6885165.68
1660.0,28.197764799999998,-46.13895199999999,6884937.13
1680.0,29.4632738,-46.15794840000001,6884708.88
