center_ut,start_ut,end_ut,guvi_n,guvi_on2_median,guvi_on2_min,dmsp_westward_n,dmsp_westward_median_kms,dmsp_westward_p95_kms,dmsp_westward_max_kms,score
19.25,17.25,21.25,614,0.3316122889518738,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.886483937860358
19.5,17.5,21.5,614,0.3316122889518738,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.886483937860358
19.0,17.0,21.0,613,0.3316456973552704,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.88388320465023
19.75,17.75,21.75,465,0.3299424946308136,0.1167106032371521,568,0.97914,3.3528000000000002,5.0966000000000005,8.528268727245496
18.5,16.5,20.5,386,0.3201955556869507,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.38133022027018
18.75,16.75,20.75,386,0.3201955556869507,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.38133022027018
18.25,16.25,20.25,386,0.3201955556869507,0.1167106032371521,570,0.9926200000000001,3.3528000000000002,5.0966000000000005,8.38133022027018
18.0,16.0,20.0,488,0.32245346903800964,0.1167106032371521,1007,1.0332000000000001,2.9474,5.0966000000000005,8.209656740793148
17.75,15.75,19.75,488,0.32245346903800964,0.1167106032371521,1061,0.96539,2.8491999999999997,5.0966000000000005,8.096385817371688
17.5,15.5,19.5,488,0.32245346903800964,0.1167106032371521,1061,0.96539,2.8491999999999997,5.0966000000000005,8.096385817371688
21.0,19.0,23.0,669,0.3318096697330475,0.11390933394432068,398,1.1007,2.9990249999999974,4.4193,7.9144832799497395
20.75,18.75,22.75,669,0.3318096697330475,0.11390933394432068,398,1.1007,2.9990249999999974,4.4193,7.9144832799497395
21.25,19.25,23.25,622,0.3372306525707245,0.11390933394432068,398,1.1007,2.9990249999999974,4.4193,7.77218131533118
20.5,18.5,22.5,530,0.3436151444911957,0.13069939613342285,398,1.1007,2.9990249999999974,4.4193,7.519112128793224
20.25,18.25,22.25,439,0.3344428837299347,0.13069939613342285,398,1.1007,2.9990249999999974,4.4193,7.387064796791643
20.0,18.0,22.0,439,0.3344428837299347,0.13069939613342285,398,1.1007,2.9990249999999974,4.4193,7.387064796791643
16.5,14.5,18.5,325,0.3201708495616913,0.1167106032371521,663,0.8565900000000001,2.5128199999999987,5.0966000000000005,7.237481437034334
17.25,15.25,19.25,324,0.31993159651756287,0.1167106032371521,663,0.8565900000000001,2.5128199999999987,5.0966000000000005,7.235979363594511
17.0,15.0,19.0,277,0.3268098533153534,0.1167106032371521,663,0.8565900000000001,2.5128199999999987,5.0966000000000005,6.984997099833137
16.75,14.75,18.75,277,0.3268098533153534,0.1167106032371521,663,0.8565900000000001,2.5128199999999987,5.0966000000000005,6.984997099833137
16.0,14.0,18.0,325,0.3201708495616913,0.1167106032371521,1003,0.71975,2.0745,5.0966000000000005,6.762777830412447
16.25,14.25,18.25,325,0.3201708495616913,0.1167106032371521,1003,0.71975,2.0745,5.0966000000000005,6.762777830412447
15.75,13.75,17.75,299,0.32498452067375183,0.13075149059295654,833,0.71996,1.9372,4.274100000000001,5.767665470801846
15.25,13.25,17.25,150,0.30839261412620544,0.13075149059295654,831,0.7199099999999999,1.9372,4.274100000000001,5.214859963090268
14.75,12.75,16.75,150,0.30839261412620544,0.13075149059295654,831,0.7199099999999999,1.9372,4.274100000000001,5.214859963090268
15.5,13.5,17.5,150,0.30839261412620544,0.13075149059295654,831,0.7199099999999999,1.9372,4.274100000000001,5.214859963090268
15.0,13.0,17.0,150,0.30839261412620544,0.13075149059295654,831,0.7199099999999999,1.9372,4.274100000000001,5.214859963090268
14.25,12.25,16.25,150,0.30839261412620544,0.13075149059295654,1030,0.65123,1.8681649999999996,4.274100000000001,5.148611304628586
14.5,12.5,16.5,150,0.30839261412620544,0.13075149059295654,1030,0.65123,1.8681649999999996,4.274100000000001,5.148611304628586
